number,study,Es_id,Type,site,Eutrophication,TN_mg_L,TP_mg_L,TN_TP,Chl.a_ug_L,TN_r1,TN_r2,TP_r1,TP_r2,TN_TP_r,Chl.a_r,T_C,SD_cm,DO,Data_Ioc,lnR
1,LI1,1,Lake,Lake Hongze,Oligo-meso,0.611111,0.0640021,9.55,3.94737,0.75,1.4,0.025,0.05,16,7,27.26,45.98,NA,F2 and F3,0.14953296
2,LI1,1,Lake,Lake Hongze,Oligo-meso,0.574074,0.0536425,10.7,3.39912,0.75,1.4,0.025,0.05,16,7,27.66,42.61,NA,F2 and F3,0
3,LI1,1,Lake,Lake Hongze,Oligo-meso,0.611111,0.0626169,9.76,4.27632,0.75,1.4,0.025,0.05,16,7,27.46,40.58,NA,F2 and F3,0.229576252
4,LI1,1,Lake,Lake Hongze,Oligo-meso,0.407407,0.0567189,7.18,3.50877,0.75,1.4,0.025,0.05,16,7,27.46,35.46,NA,F2 and F3,0.031748974
5,LI1,1,Lake,Lake Hongze,Eutro,1.07407,0.107327,10.01,11.4035,0.75,1.4,0.025,0.05,16,7,27.26,38.29,NA,F2 and F3,1.210403751
6,LI1,1,Lake,Lake Hongze,Eutro,0.555556,0.0642528,8.65,15.6798,0.75,1.4,0.025,0.05,16,7,27.66,30.61,NA,F2 and F3,1.528856685
7,LI1,1,Lake,Lake Hongze,Eutro,1.64815,0.122306,13.48,23.9035,0.75,1.4,0.025,0.05,16,7,27.45,22.25,NA,F2 and F3,1.950508317
8,LI1,1,Lake,Lake Hongze,Eutro,1.2037,0.0955867,12.59,23.4649,0.75,1.4,0.025,0.05,16,7,27.86,24.27,NA,F2 and F3,1.931989113
9,LI1,1,Lake,Lake Hongze,Hyper,0.907407,0.0837313,10.84,35.5263,0.75,1.4,0.025,0.05,16,7,27.66,20.36,NA,F2 and F3,2.346756693
10,LI1,1,Lake,Lake Hongze,Eutro,1.48148,0.107578,13.77,16.886,0.75,1.4,0.025,0.05,16,7,27.85,35.6,NA,F2 and F3,1.602968302
11,LI1,1,Lake,Lake Hongze,Eutro,1.40741,0.11804,11.92,15.4605,0.75,1.4,0.025,0.05,16,7,27.45,38.7,NA,F2 and F3,1.51477181
